"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2022","301.33","302.14","302.14","287.67","","-0.36%"
"11/01/2022","302.42","297.73","309.91","294.96","","2.41%"
"10/01/2022","295.31","293.06","306.92","291.93","","2.50%"
"09/01/2022","288.12","304.89","308.38","283.73","","-7.38%"
"08/01/2022","311.06","305.78","323.16","300.45","","-0.33%"
"07/01/2022","312.08","311.31","312.08","291.70","","0.49%"
"06/01/2022","310.57","340.97","351.25","310.57","","-7.91%"
"05/01/2022","337.24","329.12","341.45","316.34","","2.77%"
"04/01/2022","328.15","311.90","336.23","311.89","","4.50%"
"03/01/2022","314.03","298.67","328.76","298.42","","9.74%"
"02/01/2022","286.14","273.02","286.14","273.02","","5.50%"
"01/01/2022","271.23","247.69","271.23","247.69","","9.80%"
"12/01/2021","247.02","232.15","249.66","232.15","","6.02%"
"11/01/2021","232.99","254.28","254.28","232.99","","-7.78%"
"10/01/2021","252.65","244.87","256.36","244.87","","3.84%"
"09/01/2021","243.32","231.68","243.32","231.61","","4.93%"
"08/01/2021","231.88","230.75","233.81","219.88","","0.05%"
"07/01/2021","231.77","229.54","235.14","217.80","","2.20%"
"06/01/2021","226.78","222.07","227.51","216.32","","3.74%"
"05/01/2021","218.60","213.25","222.66","212.50","","2.98%"
"04/01/2021","212.29","197.27","215.10","194.66","","8.00%"
"03/01/2021","196.56","204.14","206.78","194.77","","-2.87%"
"02/01/2021","202.37","187.42","208.45","186.37","","9.32%"
"01/01/2021","185.11","179.80","187.92","177.12","","3.82%"
"12/01/2020","178.29","170.34","178.32","167.76","","4.84%"
"11/01/2020","170.05","152.09","171.36","152.09","","10.60%"
"10/01/2020","153.76","156.98","162.26","151.48","","-2.54%"
"09/01/2020","157.76","163.53","164.11","153.59","","-3.06%"
"08/01/2020","162.74","152.81","164.27","152.69","","6.63%"
"07/01/2020","152.62","147.57","153.41","146.13","","4.16%"
"06/01/2020","146.52","140.02","148.72","138.30","","4.35%"
"05/01/2020","140.42","123.39","140.68","123.33","","12.85%"
"04/01/2020","124.43","128.22","141.67","107.74","","-3.76%"
"03/01/2020","129.29","170.61","177.01","127.16","","-23.58%"
"02/01/2020","169.18","180.35","186.75","167.54","","-6.26%"
"01/01/2020","180.49","196.96","198.86","180.04","","-8.21%"
"12/01/2019","196.64","188.15","198.75","186.96","","5.31%"
"11/01/2019","186.71","186.63","192.64","186.59","","-0.01%"
"10/01/2019","186.73","183.90","188.98","180.69","","1.85%"
"09/01/2019","183.35","178.02","193.10","176.61","","2.27%"
"08/01/2019","179.27","186.46","186.49","175.92","","-4.42%"
"07/01/2019","187.56","191.80","193.90","185.61","","-1.20%"
"06/01/2019","189.83","184.06","192.19","180.11","","3.41%"
"05/01/2019","183.56","192.28","192.34","183.51","","-4.63%"
"04/01/2019","192.47","192.49","197.88","191.84","","0.49%"
"03/01/2019","191.54","190.41","193.65","186.01","","0.75%"
"02/01/2019","190.12","186.57","192.03","183.22","","1.92%"
"01/01/2019","186.54","175.61","189.09","174.39","","6.01%"
"12/01/2018","175.96","190.46","192.12","174.23","","-6.37%"
"11/01/2018","187.94","196.95","199.94","184.85","","-4.65%"
"10/01/2018","197.10","201.12","207.83","197.05","","-1.95%"
"09/01/2018","201.01","198.74","201.76","194.45","","1.31%"
"08/01/2018","198.41","198.14","200.53","191.83","","-0.64%"
"07/01/2018","199.68","204.55","204.70","194.87","","-2.75%"
"06/01/2018","205.33","207.40","207.60","197.17","","-1.06%"
"05/01/2018","207.53","205.40","211.63","204.70","","0.59%"
"04/01/2018","206.32","200.31","208.23","194.26","","3.55%"
"03/01/2018","199.25","196.54","201.63","195.75","","0.87%"
"02/01/2018","197.53","200.87","202.18","190.66","","-1.62%"
"01/01/2018","200.78","197.25","204.61","195.60","","1.95%"
