"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2017","196.95","193.03","197.13","185.79","","2.59%"
"11/01/2017","191.98","191.40","195.70","190.02","","0.96%"
"10/01/2017","190.14","183.81","190.38","182.64","","2.54%"
"09/01/2017","185.44","182.56","187.26","181.76","","1.32%"
"08/01/2017","183.02","184.41","184.62","176.70","","-0.89%"
"07/01/2017","184.67","176.79","184.72","173.23","","4.60%"
"06/01/2017","176.55","181.76","181.79","168.13","","-2.70%"
"05/01/2017","181.45","183.26","188.04","178.21","","-0.99%"
"04/01/2017","183.27","187.74","190.04","181.24","","-2.18%"
"03/01/2017","187.34","192.52","192.78","182.91","","-2.43%"
"02/01/2017","192.00","194.18","196.10","190.54","","-0.70%"
"01/01/2017","193.34","194.81","197.66","191.15","","-0.20%"
"12/01/2016","193.73","191.42","196.07","190.59","","1.73%"
"11/01/2016","190.43","188.53","191.12","179.96","","1.67%"
"10/01/2016","187.31","187.21","192.39","185.81","","0.01%"
"09/01/2016","187.30","181.38","188.28","178.90","","3.42%"
"08/01/2016","181.11","180.55","190.49","177.51","","-0.42%"
"07/01/2016","181.87","193.51","195.21","178.83","","-5.98%"
"06/01/2016","193.43","185.84","196.72","185.10","","3.47%"
"05/01/2016","186.94","185.25","188.48","177.57","","0.86%"
"04/01/2016","185.35","170.07","185.98","165.34","","8.28%"
"03/01/2016","171.17","164.71","179.34","162.71","","4.51%"
"02/01/2016","163.78","164.89","167.00","155.41","","-2.10%"
"01/01/2016","167.29","177.08","177.08","155.34","","-5.31%"
"12/01/2015","176.68","183.77","185.33","170.56","","-3.48%"
"11/01/2015","183.05","194.51","198.86","182.51","","-6.67%"
"10/01/2015","196.14","196.05","204.26","191.41","","0.95%"
"09/01/2015","194.29","201.17","201.26","191.69","","-4.12%"
"08/01/2015","202.63","201.69","202.98","185.62","","-0.23%"
"07/01/2015","203.10","226.14","226.79","202.82","","-10.83%"
"06/01/2015","227.75","222.93","229.91","219.89","","1.79%"
"05/01/2015","223.75","229.73","234.13","219.48","","-2.75%"
"04/01/2015","230.07","212.38","230.23","212.29","","8.32%"
"03/01/2015","212.39","223.00","225.10","207.33","","-5.45%"
"02/01/2015","224.64","221.18","230.14","218.81","","2.39%"
"01/01/2015","219.38","229.81","230.56","211.79","","-4.83%"
"12/01/2014","230.52","253.70","259.53","229.56","","-9.59%"
"11/01/2014","254.99","273.66","273.70","254.69","","-6.47%"
"10/01/2014","272.62","279.61","281.59","268.42","","-2.36%"
"09/01/2014","279.21","292.43","292.56","277.32","","-4.85%"
"08/01/2014","293.44","294.21","295.14","287.46","","-0.57%"
"07/01/2014","295.13","308.66","308.83","295.03","","-4.47%"
"06/01/2014","308.94","306.65","314.16","303.74","","0.90%"
"05/01/2014","306.19","308.90","309.83","304.99","","-1.31%"
"04/01/2014","310.24","305.07","313.40","301.18","","1.60%"
"03/01/2014","305.35","306.61","309.41","299.89","","0.74%"
"02/01/2014","303.10","284.03","304.70","283.87","","6.75%"
"01/01/2014","283.93","280.51","285.64","272.62","","1.12%"
"12/01/2013","280.77","275.00","285.29","274.78","","1.93%"
"11/01/2013","275.45","277.99","278.01","272.91","","-1.07%"
"10/01/2013","278.42","285.66","289.28","278.37","","-2.69%"
"09/01/2013","286.10","292.79","294.26","285.12","","-1.93%"
"08/01/2013","291.73","286.43","297.04","281.17","","2.55%"
"07/01/2013","284.49","277.28","292.55","277.19","","3.02%"
"06/01/2013","276.14","283.77","288.79","276.05","","-2.21%"
"05/01/2013","282.37","287.05","291.97","282.31","","-2.18%"
"04/01/2013","288.65","296.12","296.30","280.67","","-2.78%"
"03/01/2013","296.91","291.51","299.23","289.69","","1.18%"
"02/01/2013","293.43","304.61","306.31","292.80","","-3.63%"
"01/01/2013","304.47","297.67","305.26","293.38","","3.05%"
"12/01/2012","295.46","300.31","302.02","292.92","","-1.32%"
"11/01/2012","299.42","297.16","300.33","290.43","","1.07%"
"10/01/2012","296.25","309.80","312.57","295.64","","-4.34%"
"09/01/2012","309.70","310.90","321.76","302.84","","-0.08%"
"08/01/2012","309.96","300.07","310.25","294.81","","3.37%"
"07/01/2012","299.84","283.04","305.37","281.94","","5.40%"
"06/01/2012","284.48","269.47","284.62","267.05","","4.12%"
"05/01/2012","273.23","306.19","308.52","273.06","","-10.77%"
"04/01/2012","306.22","308.13","312.69","298.48","","-0.81%"
"03/01/2012","308.71","322.29","324.66","305.63","","-4.33%"
"02/01/2012","322.67","312.54","326.26","309.58","","3.25%"
"01/01/2012","312.52","309.30","319.56","307.03","","2.30%"
"12/01/2011","305.49","314.67","316.30","293.69","","-2.72%"
"11/01/2011","314.02","314.84","323.31","305.14","","-1.88%"
"10/01/2011","320.04","296.95","325.20","292.57","","7.28%"
"09/01/2011","298.33","341.53","343.47","298.03","","-12.96%"
"08/01/2011","342.77","344.05","345.69","315.58","","0.15%"
"07/01/2011","342.27","336.12","350.73","334.85","","1.20%"
"06/01/2011","338.22","350.39","352.24","326.91","","-3.43%"
"05/01/2011","350.23","368.01","370.89","333.08","","-5.53%"
"04/01/2011","370.73","359.30","370.88","357.34","","3.10%"
"03/01/2011","359.58","354.42","366.83","337.57","","1.95%"
"02/01/2011","352.69","340.72","353.98","335.19","","3.28%"
"01/01/2011","341.49","334.83","342.10","322.80","","2.60%"
"12/01/2010","332.83","304.35","333.69","303.85","","10.43%"
"11/01/2010","301.39","302.35","320.33","293.92","","0.26%"
"10/01/2010","300.62","288.00","301.92","281.95","","4.83%"
"09/01/2010","286.78","265.40","287.33","265.17","","8.60%"
"08/01/2010","264.08","274.20","280.54","260.10","","-3.69%"
"07/01/2010","274.20","258.35","274.27","253.32","","6.14%"
"06/01/2010","258.34","254.60","266.83","247.44","","1.47%"
"05/01/2010","254.60","277.46","278.63","247.06","","-8.24%"
"04/01/2010","277.46","276.14","280.55","272.42","","1.61%"
"03/01/2010","273.06","274.45","277.72","266.35","","-0.51%"
"02/01/2010","274.45","265.25","277.96","256.57","","3.47%"
"01/01/2010","265.25","283.02","293.38","265.09","","-6.27%"
"12/01/2009","283.01","277.02","285.37","266.99","","2.16%"
"11/01/2009","277.02","270.00","279.75","267.12","","2.60%"
"10/01/2009","270.00","259.01","284.78","252.19","","4.24%"
"09/01/2009","259.01","253.28","263.01","246.35","","2.26%"
"08/01/2009","253.28","257.01","268.72","251.50","","-1.45%"
"07/01/2009","257.00","249.49","257.00","230.75","","3.01%"
"06/01/2009","249.49","252.54","265.64","245.56","","-1.20%"
"05/01/2009","252.53","221.90","252.65","221.90","","13.81%"
"04/01/2009","221.90","219.88","228.53","214.70","","0.92%"
"03/01/2009","219.88","211.03","229.07","199.83","","4.20%"
"02/01/2009","211.02","219.76","226.22","199.64","","-3.97%"
"01/01/2009","219.75","233.24","243.61","211.78","","-3.99%"
"12/01/2008","228.88","244.22","244.22","207.97","","-6.28%"
"11/01/2008","244.22","267.55","277.59","229.50","","-8.71%"
"10/01/2008","267.53","344.18","344.70","253.01","","-22.27%"
"09/01/2008","344.17","389.45","389.45","332.29","","-11.67%"
"08/01/2008","389.65","413.63","418.87","376.83","","-5.79%"
"07/01/2008","413.61","458.98","470.17","405.20","","-9.88%"
"06/01/2008","458.96","418.11","463.78","412.32","","9.79%"
"05/01/2008","418.04","404.70","431.09","392.38","","3.30%"
"04/01/2008","404.69","382.15","418.03","375.76","","5.90%"
"03/01/2008","382.13","407.25","416.68","372.68","","-6.15%"
"02/01/2008","407.17","363.83","408.18","357.55","","11.92%"
"01/01/2008","363.81","352.39","364.82","343.53","","3.26%"
"12/01/2007","352.33","332.99","355.41","330.60","","5.83%"
"11/01/2007","332.91","342.87","350.95","332.79","","-2.90%"
"10/01/2007","342.83","324.82","343.34","314.89","","5.58%"
"09/01/2007","324.72","299.21","329.14","297.93","","8.41%"
"08/01/2007","299.52","313.27","313.47","289.77","","-4.38%"
"07/01/2007","313.23","303.96","315.41","301.79","","3.09%"
"06/01/2007","303.84","299.24","308.80","295.06","","1.76%"
"05/01/2007","298.59","298.60","303.29","293.51","","0.01%"
"04/01/2007","298.56","301.39","305.02","295.30","","-0.90%"
"03/01/2007","301.27","295.80","303.14","286.20","","1.86%"
"02/01/2007","295.76","284.11","301.61","280.55","","4.12%"
"01/01/2007","284.07","288.47","288.89","268.16","","-1.52%"
