"TIME_PERIOD","    Personal consumption expenditures (PCE)"
"1959M02",0.1
"1959M03",0.1
"1959M04",0.2
"1959M05",0.1
"1959M06",0.3
"1959M07",0.2
"1959M08",0.1
"1959M09",0.3
"1959M10",0.2
"1959M11",0.1
"1959M12",0.1
